class,precision,recall,f1_score
기쁨,0.940354147250699,0.9418589145219363,0.941105929380413
당황,0.761026804708552,0.7198819425811644,0.7398827990348156
분노,0.7595065312046444,0.701380511995711,0.7292871576893596
불안,0.5362915074933882,0.49277710274065073,0.5136142967705621
상처,0.45552749719416386,0.43742422201266334,0.44629235104116555
슬픔,0.6292147674019888,0.7360609707180105,0.67845698792211
중립,0.7744963083468902,0.8360124273942996,0.8040795114979862
