epoch,train_loss,train_acc,val_loss,val_acc,minutes
1,1.9475563472171395,0.14231274991278212,1.962461680858814,0.1428653646932433,56.1736593524615
2,1.947253864867996,0.1439944896188355,1.9468024884621207,0.14409315888424204,10.113834210236867
3,1.9470851287312532,0.14165973396309117,1.9512546177365593,0.14386294747342976,10.074349224567413
4,1.946905017385377,0.14259900347976992,1.9464909623974882,0.143767026052258,10.084880554676056
5,1.9468569740209025,0.14357852740430632,1.9468205938801013,0.14219391474504087,10.113209398587545
6,1.9468509986548639,0.1417134065069014,1.9463769715182575,0.14390131604189849,10.096049706141153
7,1.9468751959609667,0.14354274570843284,1.9475163628252488,0.14298047039864942,10.09899566968282
8,1.9468142834317468,0.14267503958350106,1.9464675985293565,0.1426543375666654,10.11236749490102
9,1.9468776654132471,0.1431223107819195,1.946327759990605,0.1425584161454936,10.105678741137186
10,1.946815470574517,0.1424916583921495,1.9462256962516717,0.1443233702950543,10.092054724693298
11,1.946774893658872,0.14343540062081242,1.946065133614967,0.1438053946207267,10.08375856479009
12,1.946762875554122,0.14314020162985625,1.9461250606823812,0.1417910447761194,10.103411265214284
13,1.946739609931496,0.14369034520391094,1.9461020088724543,0.14322986609369603,10.085444204012553
14,1.9467046173284137,0.14354274570843284,1.9465343535589072,0.14209799332386908,10.092521448930105
15,1.9466993464370344,0.14297023857445723,1.9466385143942915,0.14236657330315006,10.120098201433818
16,1.9467025589081939,0.14337725536501802,1.9464011343488834,0.14386294747342976,10.102058521906535
