model,checkpoint_type,accuracy,mean_precision,mean_recall,mean_f1
mobilenet_v3_small,best_loss,0.6267697502206193,0.6312312274638746,0.6262920894167289,0.6224269629763122
mobilenet_v3_small,best_accuracy,0.6401220120477304,0.6409259210383821,0.6397608064332018,0.6334624540020012
efficientnet_b0,best_loss,0.6954878563480796,0.6937739376571894,0.695056584566348,0.6932455761909161
efficientnet_b0,best_accuracy,0.7100103595134866,0.7065353345565468,0.709629834959215,0.7076593160975451
resnet18,best_loss,0.6720062924452289,0.6708917964302742,0.6715829940419101,0.6688559000147487
resnet18,best_accuracy,0.684763841461075,0.6772504093691676,0.6843493515468863,0.6787938530132563
