epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,epoch_seconds
1,1.1529299826516821,0.564268398500747,1.095998727264012,0.587058281855504,5393.133104801178
2,0.9796777671792074,0.6313232965676409,1.0558076776972627,0.6111153742853854,1780.4303941726685
3,0.9028713458011295,0.6615319933088228,1.056156332897709,0.6135901469516173,739.6893658638
4,0.8426336014784457,0.6840476254372077,1.013876186979433,0.6246019261021372,738.5901226997375
5,0.7934225534977727,0.7034144683287264,1.053364131392839,0.6303380270882093,737.8444600105286
6,0.7519349028594567,0.7180447092289939,1.0283407797831894,0.6368990522963588,734.4201896190643
7,0.7106955604408238,0.7344193078030933,0.9959704397174132,0.6459924030234432,741.5778317451477
8,0.6732696411718185,0.7481550063065239,1.059361986476604,0.6447262402639757,747.195095539093
9,0.641953118810019,0.7599853295046919,1.0777922935450255,0.6356904423895945,738.8959884643555
10,0.6113774852592772,0.7716769986313501,1.0819168267921324,0.6428078118405403,742.2985258102417
11,0.5833684145827889,0.7816287827961607,1.0889817777397477,0.6457238230441622,731.6068730354309
12,0.5567370248323524,0.7919518020556584,1.1381748157078084,0.6442082645896482,733.9140992164612
