model,checkpoint_type,accuracy,mean_precision,mean_recall,mean_f1
mobilenet_v3_small,best_loss,0.6509611326401412,0.6412608584955574,0.6505549626915641,0.6432148624026418
mobilenet_v3_small,best_accuracy,0.6536853010014196,0.6534376871807195,0.65334961472121,0.6483819106669876
efficientnet_b0,best_loss,0.7073629282891455,0.7064672173294116,0.7070632295349162,0.7060938270512181
efficientnet_b0,best_accuracy,0.7189694202509305,0.713257158177346,0.718593367373534,0.7151590092574219
resnet18,best_loss,0.6697809154740436,0.6540420389515045,0.6692094076464252,0.6578906627950086
resnet18,best_accuracy,0.6923416337336454,0.6888459072543769,0.6920102764159975,0.6884327864596351
