class,precision,recall,f1_score
기쁨,0.9041149575440889,0.922923056407521,0.9134221987594034
당황,0.7300119331742243,0.6565602361148377,0.6913405848283656
분노,0.5897572971239174,0.739311084305053,0.6561199000832639
불안,0.4308553157474021,0.5093830160658837,0.4668398911160604
상처,0.47856267864434465,0.3157752930082177,0.38048859670481294
슬픔,0.6969327291739282,0.5346971520256719,0.6051297571309677
중립,0.6562465358607693,0.7996758071052276,0.720896249391135
