model,best_epoch,best_val_loss,best_val_acc
resnet18,4,1.9459827535238332,0.14250086329279055
efficientnet_b0,6,1.946024907063858,0.14299965468288378
mobilenet_v3_small,11,1.946065133614967,0.1438053946207267
