class,precision,recall,f1_score
기쁨,0.8844411800710001,0.9634617949059875,0.922261935154455
당황,0.6522386208607218,0.7055272337000268,0.6778372108010569
분노,0.7065188704143573,0.7175981771880445,0.7120154265576168
불안,0.5250933896378106,0.436479006345349,0.47670303745207904
상처,0.43675927724888286,0.30284251650276167,0.35767700875099445
슬픔,0.6082781456953642,0.7368632170076214,0.6664248140758208
중립,0.7649647887323944,0.8216939078751857,0.7923152067730381
