epoch,train_loss,train_acc,val_loss,val_acc,minutes
1,1.9501922988666809,0.14329674654930272,1.946686095682424,0.14202125618693168,19.052668976783753
2,1.9472989714348592,0.14314467434184044,1.946439200999461,0.14447684456892915,18.998747261365256
3,1.9471898992953385,0.14260347619175412,1.9462250997524089,0.14182941334458812,19.01821873188019
4,1.9471747420254268,0.14245140398429185,1.947943693778376,0.14309557610405554,18.999347015221915
5,1.9469304240010425,0.1422635500809561,1.9461120586551142,0.1432490503779304,18.99075121084849
6,1.9467862520469645,0.14221882296111424,1.946024907063858,0.14299965468288378,19.01552488406499
7,1.94679627030122,0.14163737040317026,1.9465476235886727,0.14077427771169856,18.988295714060467
8,1.9466553827838629,0.14282263907897916,1.9470255339460802,0.14202125618693168,19.0010450164477
9,1.9466688910489867,0.1420622780416678,1.9465198754230584,0.14202125618693168,19.008426801363626
10,1.9466823822755288,0.14291209331866284,1.9467139076080617,0.14209799332386908,18.99332699775696
11,1.946621285543435,0.14246034940826022,1.9471584931441912,0.14211717760810344,18.96907594601313
