epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,epoch_seconds
1,0.9384428130581051,0.6495361797672401,0.9418354872383307,0.6586348463338833,3658.070509672165
2,0.7407180454261163,0.7242215244791527,0.9640066324555352,0.6498868127230173,3615.941212415695
3,0.6413061873546553,0.763017828229969,0.8859774440518958,0.6914783409430995,3614.179636001587
4,0.5655345656850489,0.7903013713334943,0.8862783680721241,0.70306564862065,3625.9491803646088
5,0.5025581031852985,0.8139485995938778,0.8652629716564743,0.7073629282891455,3621.692195892334
6,0.45122217402296827,0.8325863904319746,0.938550274133481,0.7141541649081072,3613.491025209427
7,0.40426304614096353,0.8495782232598914,0.9233938923170418,0.7103940451981736,3621.5906620025635
8,0.3635962158997393,0.8648793709577866,0.9938728641929454,0.7141157963396386,3626.383475780487
9,0.3296806084073085,0.8768707117873852,0.9907198197316653,0.7189694202509305,3621.164841890335
10,0.2977440781687868,0.8884147814185653,1.0644832356917502,0.7182787860184936,3612.47026014328
