epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,epoch_seconds
1,1.0086056793443807,0.6234692143234128,0.9819662940592272,0.6428845489774776,1070.5725646018982
2,0.8275756289968146,0.6932435212766909,0.9302800245400388,0.663699497371753,1070.0387580394745
3,0.735564450999833,0.727428458971813,0.9161074694113268,0.6809653531826727,1061.2147068977356
4,0.6674243590550212,0.7543989122364454,0.8627127645199861,0.6959099106012354,1069.9249114990234
5,0.6107683742773306,0.7762123285833132,0.8621834176110662,0.7021448029774009,1051.0101037025452
6,0.5633376148062069,0.7926584905491596,0.8817501772928781,0.7049648927598511,1063.6635565757751
7,0.5208045169143933,0.8086842175884926,0.8950063676043373,0.701070483060277,1054.6772532463074
8,0.48148298548219315,0.8228090420345472,0.9403327663671677,0.7039097571269616,1068.982628107071
9,0.4476395145657536,0.8359275062841603,0.9221073569950686,0.7075931396999577,1061.3024291992188
10,0.4182330439997022,0.8462863072395316,0.9755167269440554,0.7041399685377738,1049.9688591957092
