epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,epoch_seconds
1,1.105644161177675,0.5811349953931066,1.133950655096642,0.5870774661397383,1369.924415588379
2,0.9079886900121266,0.6582892771202891,1.1241594635095096,0.6072785174385144,1192.6407952308655
3,0.8118041459384711,0.6954127865890204,1.0387825857182857,0.6223189962782488,1205.6598789691925
4,0.7336239850529939,0.7264176260633872,1.0794251848931131,0.6165253424394735,1214.5461475849152
5,0.6703769996927431,0.7499351456762293,0.9848210128504551,0.6509611326401412,1200.278648853302
6,0.6112204272506315,0.7719677249103222,1.0606016844290342,0.6536853010014196,1180.125284910202
7,0.560651712221485,0.7906189338843714,1.089312600164637,0.6341748839350804,1176.5614218711853
8,0.51399699744158,0.8073871311130791,1.0787155254769114,0.6481985957103941,1174.5418646335602
9,0.47318761546846666,0.8224199160919232,1.123796352047842,0.6447837931166788,1173.3880727291107
10,0.434028824145104,0.8368712485128232,1.222722672603815,0.6495031270383302,1173.3381237983704
