model,checkpoint_type,accuracy,mean_precision,mean_recall,mean_f1
mobilenet_v3_small,best_loss,0.6459924030234432,0.63484057342277,0.6455188581779138,0.6380091435221354
mobilenet_v3_small,best_accuracy,0.6459924030234432,0.63484057342277,0.6455188581779138,0.6380091435221354
efficientnet_b0,best_loss,0.7021448029774009,0.6970769832524955,0.7018223803226599,0.6974125547943384
efficientnet_b0,best_accuracy,0.7075931396999577,0.7049321672034888,0.7072604153125338,0.7053817922675133
resnet18,best_loss,0.6854736599777462,0.6833939123843761,0.6851189592433756,0.6817804273151886
resnet18,best_accuracy,0.6859532670836052,0.6856894631442783,0.6856739060093586,0.6797536221008402
